combo_id,variant,top_k,n,accuracy_em,accuracy_judge,f1_mean,query_latency_ms_mean,query_tokens_total_mean
bm25_c00,bm25,3,1000,0.331,0.4055,0.4113,413.95,397.01
bm25_c01,bm25,5,1000,0.337,0.431,0.4249,460.86,627.04
bm25_c02,bm25,10,1000,0.376,0.482,0.4848,587.59,1272.02
bm25_c03,bm25,15,1000,0.394,0.5,0.4978,694.02,1937.75
vector_c00,vector,3,1000,0.369,0.452,0.4501,429.36,424.44
vector_c01,vector,5,1000,0.389,0.4855,0.4838,464.03,663.37
vector_c02,vector,10,1000,0.404,0.5175,0.5142,591.31,1296.49
vector_c03,vector,15,1000,0.417,0.5305,0.5286,703.06,1944.39
graph_c00,graph,3,1000,0.238,0.283,0.2839,665.34,121.14
graph_c01,graph,5,1000,0.235,0.2715,0.2766,675.78,142.25
graph_c02,graph,10,1000,0.268,0.313,0.3201,683.91,194.81
graph_c03,graph,15,1000,0.283,0.33,0.3367,696.9,246.01
graphtext_c00,graphtext,3,1000,0.393,0.4785,0.4964,667.43,434.22
graphtext_c01,graphtext,5,1000,0.38,0.469,0.4799,719.43,693.34
graphtext_c02,graphtext,10,1000,0.379,0.483,0.4918,839.1,1352.9
graphtext_c03,graphtext,15,1000,0.392,0.482,0.4949,947.35,2011.22
vectorgraphtext_c00,vectorgraphtext,3,1000,0.417,0.5165,0.5155,598.99,424.2
vectorgraphtext_c01,vectorgraphtext,5,1000,0.415,0.5145,0.5102,647.73,680.41
vectorgraphtext_c02,vectorgraphtext,10,1000,0.41,0.5235,0.5129,767.93,1342.45
vectorgraphtext_c03,vectorgraphtext,15,1000,0.43,0.5375,0.5261,876.3,1986.53
